id,accommodates,bathrooms,bedrooms,cleaning_fee,security_deposit,extra_people,guests_included,minimum_nights,host_is_superhost,Laptop_friendly_workspace,Family_kid_friendly,Host_greets_you,Smoking_is_allowed,distance_to_midcenter,size,host_has_profile_pic_0,host_has_profile_pic_1,instant_bookable_f,instant_bookable_t,is_business_travel_ready_f,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60
2015,3,1.0,1.0,30.0,200.0,28.0,1,4,1,False,False,False,False,1.6249057022613138,75.0,0,1,1,0,1,0,0,1,0,0
2695,2,1.0,1.0,0.0,0.0,0.0,1,2,0,False,False,False,False,3.1706265873652337,25.0,0,1,1,0,1,1,0,0,0,0
3176,4,1.0,1.0,50.0,200.0,20.0,2,62,0,False,False,False,False,1.8720718289438756,68.0,0,1,0,1,1,0,0,1,0,0
3309,2,1.0,1.0,30.0,250.0,18.0,1,5,0,False,False,True,False,4.456289464843826,26.0,0,1,1,0,1,0,0,1,0,0
7071,2,1.0,1.0,0.0,0.0,24.0,1,2,1,False,False,False,False,2.6639102782129673,20.0,0,1,1,0,1,0,1,0,0,0
9991,7,2.5,4.0,80.0,400.0,10.0,5,6,0,False,False,False,False,1.6303276901491215,780.0,0,1,1,0,1,0,0,1,0,0
14325,2,1.0,0.0,0.0,500.0,0.0,1,90,0,False,False,True,False,3.0966171981965327,22.0,0,1,1,0,1,0,0,1,0,0
16401,2,1.0,1.0,0.0,0.0,13.0,1,30,0,False,False,False,True,3.728568240060208,55.0,0,1,1,0,1,0,0,1,0,0
16644,5,1.0,1.0,50.0,500.0,20.0,2,60,0,False,False,False,False,2.6474837353422145,80.0,0,1,1,0,1,0,0,1,0,0
17409,2,1.0,1.0,18.0,0.0,26.0,1,3,1,False,False,True,False,1.1397063394656344,25.0,0,1,1,0,1,0,0,1,0,0
20858,4,1.0,2.0,49.0,500.0,24.0,2,3,0,False,False,False,False,1.8933094853177062,22.0,0,1,1,0,1,0,0,1,0,0
21869,4,1.0,1.0,40.0,500.0,18.0,2,60,0,False,False,False,False,2.7756528756154406,22.0,0,1,1,0,1,0,0,1,0,0
22415,4,1.0,2.0,50.0,300.0,25.0,2,3,1,False,False,True,False,3.2171548742483047,22.0,0,1,1,0,1,0,0,1,0,0
22677,5,1.0,1.0,40.0,150.0,35.0,4,3,1,False,False,False,False,1.5959440670927043,70.0,0,1,1,0,1,0,0,1,0,0
23834,4,1.0,1.0,50.0,500.0,0.0,1,60,0,False,False,True,False,3.7765158801180245,50.0,0,1,1,0,1,0,0,1,0,0
24569,4,2.5,2.0,35.0,200.0,5.0,2,3,0,False,False,False,True,1.4910727401077692,150.0,0,1,1,0,1,0,0,1,0,0
25653,4,2.5,2.0,55.0,200.0,5.0,2,4,0,False,False,False,False,1.5030474560810467,150.0,0,1,1,0,1,0,0,1,0,0
26543,8,2.0,2.0,50.0,250.0,40.0,4,3,0,False,False,True,False,2.89586391017485,84.0,0,1,0,1,1,0,0,1,0,0
28156,2,1.0,0.0,0.0,1660.0,0.0,1,90,0,False,False,True,False,2.9710729221379477,22.0,0,1,1,0,1,0,0,1,0,0
28268,6,1.0,2.0,50.0,200.0,20.0,4,5,0,False,False,False,False,4.455836837984359,75.0,0,1,1,0,1,0,0,1,0,0
29279,4,1.0,2.0,80.0,1500.0,0.0,2,60,1,False,False,True,False,2.738784359719733,25.0,0,1,1,0,1,0,0,1,0,0
30295,8,1.0,2.0,40.0,0.0,20.0,4,4,1,False,False,False,False,3.117036909075357,100.0,0,1,0,1,1,0,0,1,0,0
31440,1,1.0,1.0,15.0,100.0,15.0,1,1,0,False,False,False,False,2.8258415215380364,22.0,0,1,1,0,1,0,1,0,0,0
33043,4,1.0,1.0,20.0,0.0,8.0,2,3,0,False,False,False,False,3.245914088330086,47.0,0,1,0,1,1,0,0,1,0,0
35642,2,1.0,1.0,50.0,1000.0,10.0,1,60,0,False,False,False,False,3.385198558730924,75.0,0,1,0,1,1,0,0,1,0,0
36480,1,0.0,1.0,5.0,500.0,20.0,1,1,0,False,False,True,False,6.963141564401305,10.0,0,1,1,0,1,1,0,0,0,0
37004,1,1.0,1.0,0.0,0.0,15.0,1,5,0,False,False,True,True,4.019126060887791,200.0,0,1,1,0,1,0,0,1,0,0
37052,2,1.0,1.0,30.0,100.0,12.0,1,2,1,False,False,False,False,2.0261702013036644,65.0,0,1,1,0,1,0,0,1,0,0
37836,3,1.5,1.0,20.0,0.0,19.0,1,1,0,False,False,True,True,3.373901247703322,20.0,0,1,1,0,1,0,1,0,0,0
38074,2,1.0,1.0,0.0,500.0,0.0,2,84,0,False,False,True,False,2.325301604996822,21.0,0,1,1,0,1,0,0,1,0,0
38296,2,1.0,1.0,35.0,500.0,0.0,2,10,0,False,False,False,True,3.9996502551021957,22.0,0,1,1,0,1,1,0,0,0,0
40600,2,1.0,1.0,0.0,100.0,15.0,1,3,0,False,False,False,False,3.6644760520568167,310.0,0,1,1,0,1,0,0,1,0,0
41217,2,1.0,1.0,0.0,0.0,13.0,1,2,0,False,False,True,True,1.8903100308138605,22.0,0,1,1,0,1,0,1,0,0,0
41306,2,1.0,1.0,0.0,0.0,0.0,1,1,0,False,False,False,False,1.6939539294404298,22.0,0,1,1,0,1,1,0,0,0,0
42742,3,1.5,1.0,20.0,0.0,19.0,1,1,0,False,False,True,True,3.528684788182191,35.0,0,1,1,0,1,1,0,0,0,0
42809,4,1.0,2.0,45.0,0.0,10.0,2,4,1,False,False,True,False,3.5288456546700324,2.0,0,1,0,1,1,0,0,1,0,0
43123,4,1.0,1.0,50.0,300.0,20.0,2,5,0,False,False,False,False,2.1796235246821714,22.0,0,1,0,1,1,0,0,1,0,0
44083,2,1.0,1.0,20.0,1000.0,10.0,2,3,0,False,False,True,False,4.088878115320602,22.0,0,1,1,0,1,0,1,0,0,0
44423,2,1.0,1.0,25.0,300.0,10.0,1,2,1,False,False,False,False,3.6887817689734876,22.0,0,1,1,0,1,0,1,0,0,0
46161,2,1.0,1.0,0.0,0.0,10.0,1,4,0,False,False,True,False,1.4323033758099635,22.0,0,1,0,1,1,0,0,1,0,0
46172,2,1.0,1.0,50.0,500.0,0.0,1,60,0,False,False,True,False,2.0116440233441004,44.0,0,1,1,0,1,0,0,1,0,0
47938,6,2.0,2.0,50.0,0.0,0.0,1,3,0,False,False,True,False,1.6882582098425951,150.0,0,1,1,0,1,0,0,1,0,0
48955,2,1.0,1.0,0.0,0.0,0.0,1,4,0,False,False,False,False,2.1014479963336714,22.0,0,1,1,0,1,0,1,0,0,0
52734,2,1.0,1.0,45.0,0.0,15.0,2,5,0,False,False,True,False,3.6700925709268675,110.0,0,1,1,0,1,0,0,1,0,0
54952,2,1.0,1.0,10.0,90.0,10.0,1,4,1,False,False,True,False,1.255606511025649,100.0,0,1,1,0,1,0,0,1,0,0
55455,2,1.0,1.0,25.0,0.0,0.0,1,2,0,False,False,False,False,0.14694267569695788,30.0,0,1,1,0,1,0,0,1,0,0
55853,2,1.0,1.0,100.0,500.0,10.0,1,60,0,False,False,True,False,7.864938591512499,22.0,0,1,1,0,1,0,0,1,0,0
57049,5,2.0,2.0,60.0,1500.0,20.0,4,3,1,False,False,True,False,3.099277984233919,130.0,0,1,1,0,1,0,0,1,0,0
57209,5,1.0,2.0,75.0,250.0,15.0,2,3,0,False,False,True,False,1.9155091525324006,50.0,0,1,0,1,1,0,0,1,0,0
57792,1,1.0,1.0,50.0,1200.0,10.0,1,2,0,False,False,False,False,11.74815426149383,10.0,0,1,0,1,1,0,1,0,0,0
58041,4,1.0,2.0,70.0,2400.0,0.0,1,90,0,False,False,True,False,1.2823719965938585,75.0,0,1,1,0,1,0,0,1,0,0
58780,4,1.5,2.0,39.0,300.0,15.0,1,5,1,False,False,False,False,2.156875869612035,22.0,0,1,1,0,1,0,0,1,0,0
59249,4,1.0,1.0,50.0,300.0,20.0,2,5,0,False,False,False,False,2.3421324927479374,22.0,0,1,0,1,1,0,0,1,0,0
60161,10,1.5,2.0,50.0,200.0,25.0,2,2,0,False,False,False,False,23.026854253581536,22.0,0,1,0,1,1,0,0,1,0,0
63052,2,1.0,1.0,25.0,400.0,10.0,1,6,0,False,False,True,False,6.021526971074265,14.0,0,1,1,0,1,0,0,1,0,0
63468,2,1.0,1.0,30.0,0.0,8.0,1,2,0,False,False,True,False,2.584494214518846,500.0,0,1,0,1,1,0,0,1,0,0
64245,6,1.0,3.0,15.0,150.0,18.0,1,3,0,False,False,False,False,2.947917804483083,22.0,0,1,1,0,1,0,0,1,0,0
64590,4,1.0,2.0,30.0,200.0,25.0,2,2,0,False,False,True,False,3.0656435944946274,72.0,0,1,1,0,1,0,1,0,0,0
68142,2,1.0,1.0,15.0,85.0,15.0,1,2,1,False,False,True,True,3.350014431334059,22.0,0,1,1,0,1,0,0,1,0,0
68448,4,1.0,0.0,0.0,200.0,10.0,2,3,0,False,False,True,False,3.3953105941099926,22.0,0,1,0,1,1,0,0,1,0,0
72079,2,1.0,1.0,60.0,200.0,20.0,2,3,0,False,False,True,False,5.994842026416832,46.0,0,1,0,1,1,0,1,0,0,0
73302,2,1.0,1.0,40.0,0.0,10.0,2,3,1,False,False,False,False,4.258061042524355,22.0,0,1,0,1,1,0,0,1,0,0
74614,6,1.0,3.0,45.0,0.0,25.0,4,4,0,False,False,False,False,1.9820934137420005,101.0,0,1,1,0,1,0,0,1,0,0
80843,2,1.0,1.0,30.0,250.0,10.0,1,2,1,False,False,True,False,8.919289949141328,22.0,0,1,0,1,1,0,1,0,0,0
81049,5,1.0,2.0,60.0,300.0,25.0,2,4,0,False,False,True,False,0.9907449844073449,108.0,0,1,1,0,1,0,0,1,0,0
81081,2,1.0,1.0,30.0,200.0,0.0,1,3,1,False,False,True,False,3.372796278805371,10.0,0,1,0,1,1,0,0,1,0,0
82893,2,1.0,1.0,30.0,0.0,0.0,1,3,0,False,False,True,False,2.0065606694442275,40.0,0,1,1,0,1,1,0,0,0,0
83183,2,1.0,1.0,20.0,0.0,20.0,1,2,0,False,False,True,False,2.2832297636481966,22.0,0,1,1,0,1,0,0,1,0,0
83568,3,2.0,1.0,30.0,0.0,20.0,2,3,0,False,False,False,False,2.9188538086773517,85.0,0,1,1,0,1,0,0,1,0,0
83614,5,1.5,2.0,36.0,190.0,19.0,1,1,1,False,False,False,False,3.04247547408998,90.0,0,1,0,1,1,0,1,0,0,0
85560,2,1.0,1.0,30.0,0.0,0.0,1,3,0,False,False,True,False,2.0210248291262864,15.0,0,1,0,1,1,0,1,0,0,0
